#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
321,Ildemaro Vargas,WSN,84,337,6,34,34,3,6.30%,11.70%,0.126,0.281,0.261,0.311,0.388,0.304,88,-0.7,-5.5,0.1,0.6
322,DJ Stewart,NYM,107,428,18,50,54,2,11.50%,28.10%,0.195,0.271,0.221,0.323,0.416,0.322,106,-0.8,2.2,-10.7,0.6
323,Andy Ib��ez,DET,52,215,5,24,24,2,7.20%,17.60%,0.148,0.296,0.26,0.318,0.408,0.315,99,-0.5,-0.7,-0.6,0.6
324,Austin Barnes,LAD,45,174,4,19,18,2,9.30%,22.00%,0.135,0.263,0.221,0.302,0.356,0.291,83,-0.5,-4.2,2.3,0.6
325,Will Brennan,CLE,75,299,5,31,32,7,5.90%,14.40%,0.119,0.309,0.275,0.323,0.394,0.311,99,-0.4,-0.7,-3.5,0.6
326,Zach McKinstry,DET,86,355,8,38,35,9,8.80%,22.20%,0.14,0.293,0.239,0.312,0.379,0.303,91,-0.1,-4.2,-1.9,0.6
327,Donovan Solano,,86,367,5,41,36,1,7.40%,21.20%,0.111,0.339,0.272,0.34,0.384,0.319,100,-1.7,-1.5,-5.1,0.6
328,Colson Montgomery,CHW,49,197,4,21,19,1,10.70%,24.20%,0.128,0.285,0.226,0.321,0.355,0.3,88,-0.4,-3.3,2.4,0.6
329,Andrew McCutchen,,117,512,16,62,57,9,12.40%,22.80%,0.157,0.292,0.242,0.341,0.399,0.326,105,-2.1,1,-12.6,0.6
330,Jordan Diaz,OAK,45,188,6,20,22,1,5.20%,19.80%,0.161,0.293,0.257,0.301,0.419,0.31,100,-0.3,-0.3,-0.3,0.6
331,James McCann,BAL,47,183,5,19,19,2,5.90%,25.90%,0.136,0.298,0.236,0.289,0.371,0.288,83,-0.4,-4.1,4,0.6
332,Spencer Horwitz,TOR,53,219,5,26,23,2,12.50%,20.40%,0.136,0.317,0.26,0.359,0.397,0.333,113,-0.5,3,-4.7,0.6
333,Jos� Caballero,SEA,49,191,3,22,17,11,11.80%,23.00%,0.117,0.284,0.225,0.334,0.342,0.306,97,0.3,-0.4,-0.4,0.6
334,Connor Joe,PIT,87,380,9,45,39,5,11.40%,22.80%,0.151,0.301,0.243,0.339,0.395,0.323,101,-0.5,-0.3,-7,0.6
335,Enmanuel Valdez,BOS,60,236,8,28,29,3,9.40%,22.90%,0.177,0.291,0.245,0.32,0.421,0.32,97,-0.3,-1.2,-1.2,0.6
336,Ji Man Choi,,92,390,14,46,47,1,12.20%,28.50%,0.179,0.302,0.233,0.332,0.412,0.325,105,-1.3,0.8,-8.6,0.6
337,Tyler Freeman,CLE,31,127,2,14,13,2,7.10%,15.50%,0.122,0.308,0.271,0.34,0.393,0.323,107,-0.2,0.9,0.2,0.5
338,Matt Mervis,CHC,99,384,15,46,49,1,9.80%,25.30%,0.195,0.296,0.245,0.327,0.44,0.33,107,-1,2.5,-10.2,0.5
339,Nathan Lukes,TOR,87,332,6,38,34,5,8.00%,18.90%,0.122,0.31,0.26,0.326,0.382,0.309,97,-0.4,-1.7,-4.2,0.5
340,Junior Caminero,TBR,29,123,5,15,16,1,6.40%,22.20%,0.189,0.307,0.265,0.317,0.454,0.33,114,-0.2,1.9,-0.7,0.5
341,Luis Guillorme,NYM,45,180,2,19,16,1,11.10%,17.60%,0.096,0.304,0.254,0.342,0.351,0.308,96,-0.6,-1.5,0.6,0.5
342,Roberto P�rez,SFG,47,183,6,19,19,2,9.40%,32.20%,0.142,0.271,0.2,0.281,0.342,0.276,71,-0.8,-7.2,4.8,0.5
343,Carter Kieboom,WSN,115,448,12,47,47,2,9.50%,23.80%,0.14,0.285,0.232,0.315,0.373,0.303,88,-1.1,-7.8,-2.2,0.5
344,Jason Delay,PIT,45,173,2,17,15,2,6.80%,25.40%,0.107,0.296,0.227,0.286,0.334,0.274,67,-0.4,-7.4,1.8,0.5
345,Jurickson Profar,,86,384,9,47,36,3,10.80%,17.50%,0.137,0.276,0.242,0.33,0.379,0.314,97,-0.8,-2.3,-5.6,0.5
346,Oswaldo Cabrera,NYY,71,289,9,32,32,6,7.90%,22.90%,0.156,0.281,0.236,0.301,0.392,0.301,92,-0.2,-3.1,-1.7,0.5
347,Jacob Amaya,MIA,62,249,5,26,23,2,10.00%,21.20%,0.12,0.276,0.227,0.309,0.348,0.292,80,-0.4,-6.4,3,0.5
348,Travis Jankowski,,65,265,2,28,22,10,12.00%,19.00%,0.087,0.305,0.248,0.344,0.335,0.306,92,-0.7,-3.3,-0.7,0.5
349,Jacob Stallings,MIA,72,276,5,28,25,1,9.00%,23.10%,0.113,0.289,0.23,0.307,0.343,0.289,78,-1.5,-8.9,5,0.5
350,Mitch Haniger,SFG,96,407,16,46,52,1,7.90%,25.30%,0.183,0.289,0.241,0.309,0.424,0.316,101,-1.1,-0.7,-8.1,0.5
351,Brandon Belt,TOR,99,424,17,52,51,1,13.00%,31.60%,0.188,0.303,0.225,0.334,0.413,0.326,106,-1.7,1.2,-10.7,0.5
352,Casey Schmitt,SFG,60,238,5,24,24,2,5.50%,22.90%,0.13,0.297,0.243,0.291,0.373,0.289,83,-0.5,-5.6,2.4,0.5
353,Brian Anderson,,68,283,8,30,30,2,9.60%,27.80%,0.149,0.296,0.227,0.311,0.376,0.302,89,-0.6,-4.4,-0.3,0.5
354,Harold Ram�rez,TBR,52,221,5,25,27,2,5.20%,18.40%,0.144,0.328,0.283,0.328,0.427,0.327,112,-0.2,2.9,-5.6,0.5
355,J.D. Martinez,,126,542,23,66,75,1,8.20%,28.30%,0.202,0.311,0.248,0.314,0.45,0.327,106,-3,1,-14.7,0.5
356,Sam Huff,TEX,51,205,9,24,26,1,8.00%,31.90%,0.192,0.301,0.231,0.298,0.423,0.309,93,-0.4,-2,-0.3,0.5
357,David Peralta,,76,317,7,35,36,2,6.80%,19.80%,0.146,0.309,0.262,0.316,0.408,0.313,96,-1.1,-2.5,-3.7,0.5
358,Max Stassi,LAA,50,200,6,20,21,1,9.20%,29.90%,0.141,0.273,0.207,0.288,0.348,0.282,74,-0.7,-6.9,3,0.4
359,Joey Meneses,WSN,143,619,20,70,80,1,6.50%,21.40%,0.165,0.313,0.267,0.318,0.432,0.323,101,-2,-1.1,-15.5,0.4
360,Tucker Barnhart,,48,185,3,17,16,1,8.30%,27.80%,0.095,0.295,0.216,0.289,0.311,0.268,66,-0.7,-8.4,4.7,0.4
361,Daniel Vogelbach,NYM,57,237,10,29,30,0,14.50%,25.40%,0.189,0.279,0.232,0.346,0.421,0.335,114,-1.3,3,-6.6,0.4
362,Luke Maile,CIN,60,232,6,25,24,2,8.70%,26.40%,0.136,0.296,0.23,0.307,0.366,0.297,79,-0.6,-6.6,5.2,0.4
363,Trevor Larnach,MIN,58,242,8,27,27,1,11.40%,32.00%,0.168,0.314,0.226,0.321,0.394,0.313,99,-0.6,-0.9,-3,0.4
364,Miles Mastrobuoni,CHC,36,142,2,16,13,4,10.50%,22.00%,0.111,0.324,0.256,0.337,0.367,0.312,95,0,-0.8,0.3,0.4
365,Abraham Toro,MIL,53,216,6,24,24,2,8.80%,19.20%,0.156,0.283,0.246,0.32,0.402,0.315,96,-0.6,-1.7,-1.4,0.4
366,Emmanuel Rivera,ARI,84,350,10,39,40,2,7.60%,21.50%,0.156,0.299,0.252,0.313,0.407,0.313,95,-0.6,-2.9,-4.9,0.4
367,David Fletcher,LAA,68,278,3,29,25,4,5.50%,10.10%,0.088,0.292,0.27,0.314,0.357,0.294,83,-0.3,-6,0.7,0.4
368,Kevin Smith,OAK,58,232,8,23,25,4,6.40%,30.50%,0.161,0.282,0.216,0.272,0.378,0.281,80,-0.2,-5.7,2,0.4
369,Adalberto Mondesi,BOS,63,254,7,27,27,11,5.60%,29.00%,0.143,0.306,0.232,0.281,0.374,0.284,77,0.7,-6.4,1.9,0.4
370,Kevin Newman,,60,253,3,27,23,5,6.00%,13.80%,0.1,0.292,0.26,0.309,0.36,0.294,83,0.1,-5.1,0.6,0.4
371,Pablo Reyes,BOS,40,162,3,18,17,4,8.40%,18.00%,0.136,0.296,0.255,0.322,0.391,0.312,91,-0.1,-1.8,0.4,0.4
372,Joey Gallo,,89,361,17,44,44,3,14.30%,37.60%,0.21,0.27,0.192,0.314,0.401,0.313,97,-0.3,-1.7,-6.6,0.4
373,Dylan Moore,SEA,60,239,7,27,24,12,10.50%,30.50%,0.155,0.279,0.206,0.305,0.361,0.295,90,0.3,-2.7,-1.4,0.4
374,Patrick Wisdom,CHC,97,397,21,48,54,6,9.60%,35.70%,0.225,0.271,0.208,0.292,0.433,0.311,95,-0.7,-3.2,-6.3,0.4
375,Edgar Quero,CHW,27,110,2,11,10,1,11.30%,21.70%,0.116,0.276,0.225,0.322,0.342,0.298,86,-0.2,-2,2.3,0.4
376,Kyle Farmer,MIN,44,184,4,20,20,2,5.80%,20.40%,0.136,0.293,0.248,0.307,0.384,0.302,91,-0.4,-2.2,-0.1,0.4
377,Heston Kjerstad,BAL,49,195,6,23,24,1,6.60%,22.40%,0.17,0.313,0.262,0.321,0.432,0.324,108,-0.3,1.5,-4.2,0.4
378,Jeferson Quero,MIL,32,128,4,14,14,1,7.10%,22.00%,0.145,0.276,0.235,0.294,0.38,0.294,82,-0.2,-3.1,2.6,0.4
379,Kyle Higashioka,NYY,18,70,3,8,9,0,5.90%,26.90%,0.18,0.269,0.225,0.274,0.405,0.291,85,-0.2,-1.5,1.1,0.4
