#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
334,Tyler Mahle,MIN,2,2,0,5,5,27,8.92,3.02,1.35,0.292,72.30%,38.10%,4.27,4.35,0.4
335,Jonathan Loáisiga,NYY,3,3,3,64,0,64,7.97,2.87,1,0.297,73.10%,50.50%,3.78,4.02,0.4
336,Cade Cavalli,WSN,2,2,0,15,5,38,8.61,3.85,1.21,0.293,71.70%,42.70%,4.37,4.54,0.4
337,Emilio Pagán,,3,3,0,67,0,67,9.66,3.28,1.38,0.285,73.70%,33.00%,4.14,4.29,0.4
338,Carlos Estévez,LAA,3,3,23,66,0,66,9.75,3.75,1.33,0.291,73.10%,35.90%,4.27,4.39,0.4
339,Ryan Weathers,MIA,4,4,0,49,5,70,8.09,3.46,1.25,0.296,73.50%,41.20%,4.23,4.52,0.4
340,Luis García,,3,3,0,53,0,53,8.64,3.13,0.93,0.303,72.40%,49.80%,3.8,3.87,0.4
341,Nate Pearson,TOR,3,3,0,50,2,57,10.04,4.11,1.26,0.284,73.80%,36.90%,4.12,4.35,0.4
342,Andre Pallante,STL,3,3,0,62,0,62,6.94,3.55,0.69,0.313,72.40%,60.00%,3.8,4,0.4
343,Sean Hjelle,SFG,4,5,0,63,5,86,6.86,2.99,0.92,0.31,70.60%,54.20%,4.22,4.24,0.4
344,Cal Quantrill,CLE,6,9,0,46,18,128,6.43,2.81,1.42,0.295,69.30%,42.00%,4.89,4.98,0.4
345,Jake Bird,COL,3,3,1,62,0,62,7.86,3.46,1.07,0.323,70.10%,51.70%,4.6,4.38,0.4
346,Daniel Palencia,CHC,3,3,0,60,0,60,9.82,4.13,1.13,0.292,73.50%,40.20%,4.04,4.24,0.4
347,Adrian Morejon,SDP,5,5,0,50,10,94,8.3,3.61,1.36,0.288,72.80%,38.50%,4.39,4.7,0.4
348,Kody Funderburk,MIN,3,3,0,60,0,60,9.17,3.58,0.88,0.3,74.10%,48.80%,3.62,3.83,0.4
349,Ty Madden,DET,3,4,0,10,10,55,7.51,3.38,1.37,0.292,70.30%,39.10%,4.74,4.82,0.4
350,Tyler Wells,BAL,4,4,4,64,2,71,9.12,2.38,1.47,0.281,74.00%,32.50%,4.05,4.25,0.4
351,Rafael Montero,HOU,3,3,1,66,0,66,9.44,3.55,1.1,0.296,72.80%,43.70%,4,4.06,0.4
352,Brennan Bernardino,BOS,3,3,0,58,0,58,8.96,3.41,0.98,0.308,72.90%,47.70%,3.92,3.98,0.3
353,Tanner Banks,CHW,3,4,0,63,2,70,8.24,2.91,1.34,0.291,73.30%,41.40%,4.18,4.45,0.3
354,Yunior Marte,PHI,2,2,0,48,0,48,8.66,3.76,1.11,0.296,72.90%,46.50%,4.11,4.33,0.3
355,Daniel Hudson,,3,2,0,51,0,51,10.23,3.19,1.2,0.288,74.10%,35.30%,3.82,3.91,0.3
356,Tanner Rainey,WSN,3,3,5,60,0,60,9.85,4.19,1.31,0.286,73.50%,34.00%,4.26,4.49,0.3
357,Marco Gonzales,SEA,7,8,0,36,19,126,6.52,2.54,1.45,0.289,71.40%,39.10%,4.59,4.87,0.3
358,Brock Burke,TEX,3,3,0,62,0,62,9.16,2.85,1.28,0.292,74.00%,39.80%,3.97,4.14,0.3
359,Andrew Chafin,,3,3,0,54,0,54,9.66,3.8,1.07,0.296,74.40%,42.30%,3.85,4.04,0.3
360,Ray Kerr,SDP,3,3,0,60,0,60,10.08,4.33,1.05,0.289,75.50%,42.60%,3.72,4.09,0.3
361,Tommy Kahnle,NYY,3,3,2,63,0,63,9.88,3.68,1.12,0.29,74.40%,44.10%,3.82,4.04,0.3
362,Erik Swanson,TOR,3,3,2,64,0,64,9.8,2.93,1.31,0.284,74.30%,36.30%,3.89,4.05,0.3
363,Shintaro Fujinami,,3,3,0,65,0,65,9.86,4.18,1.11,0.292,73.40%,39.80%,4.04,4.21,0.3
364,Danny Coulombe,BAL,3,3,2,64,0,64,8.96,3.09,1.14,0.291,74.30%,42.00%,3.81,4.06,0.3
365,Yency Almonte,LAD,3,3,0,60,0,60,9.41,3.62,1.22,0.295,73.00%,42.40%,4.15,4.3,0.3
366,Tyler Kinley,COL,3,3,10,64,0,64,8.89,3.48,1.47,0.306,70.60%,36.70%,4.88,4.7,0.3
367,Joe Rock,COL,2,3,0,8,8,46,6.83,3.75,1.52,0.313,68.60%,43.90%,5.49,5.33,0.3
368,Hoby Milner,MIL,3,3,0,62,0,62,8.39,2.68,1.19,0.296,73.50%,44.90%,3.94,4.15,0.3
369,Brooks Raley,NYM,3,3,2,63,0,63,9.45,3.52,1.13,0.294,73.70%,41.20%,3.93,4.14,0.3
370,Trevor Stephan,CLE,3,3,2,64,0,64,9.62,3.4,1.15,0.291,72.70%,40.70%,3.97,4.05,0.3
371,Andrew Saalfrank,ARI,3,3,0,62,0,62,8.71,4.33,0.75,0.307,74.10%,53.70%,3.69,3.97,0.3
372,Dauri Moreta,PIT,3,3,0,60,0,60,9.74,3.69,1.19,0.289,73.10%,36.40%,4.09,4.18,0.3
373,Chad Green,TOR,3,3,0,58,0,58,9.83,2.82,1.37,0.281,74.60%,33.70%,3.9,4.09,0.3
374,Trevor Richards,TOR,3,3,0,54,0,54,10.68,3.85,1.3,0.282,76.00%,34.00%,3.86,4.14,0.3
375,Jesse Chavez,,2,2,0,50,0,50,8.68,3.15,1.16,0.296,73.00%,43.00%,4.04,4.16,0.3
376,Sean Reid-Foley,NYM,3,3,0,56,0,56,10.78,4.21,1.07,0.292,74.50%,39.70%,3.82,3.93,0.3
377,Simeon Woods Richardson,MIN,4,6,0,32,11,86,7.18,3.81,1.36,0.296,70.10%,41.20%,4.93,5,0.3
378,Matt Canterino,MIN,3,3,0,16,6,47,9.01,3.72,1.36,0.294,71.50%,36.20%,4.57,4.57,0.3
379,Jake Latz,TEX,2,2,0,44,0,44,9.81,3.69,1.24,0.287,74.80%,38.70%,3.94,4.22,0.3
380,Bennett Sousa,HOU,3,3,0,58,0,58,8.98,3.85,1.11,0.296,73.70%,44.40%,4.02,4.27,0.3
381,Ryne Stanek,,3,3,0,57,0,57,9.95,4.06,1.24,0.286,73.90%,34.20%,4.11,4.3,0.3
382,Angel Perdomo,ATL,2,1,0,35,0,35,11.75,4.27,1.08,0.29,76.20%,37.80%,3.58,3.79,0.3
383,Brent Headrick,MIN,3,3,0,38,3,53,8.57,3.01,1.34,0.289,72.50%,35.80%,4.27,4.44,0.3
384,Carlos Hernández,KCR,3,3,2,63,0,63,9.31,3.6,1.12,0.294,73.00%,37.60%,4.05,4.12,0.3
385,Jeffrey Springs,TBR,1,1,0,12,2,19,10.38,2.55,1.13,0.287,75.80%,39.60%,3.39,3.53,0.3
386,Jonathan Hernández,TEX,3,3,1,63,0,63,8.99,4.39,1.02,0.301,73.20%,47.90%,4.13,4.34,0.3
387,Keegan Akin,BAL,2,1,0,33,0,33,9.51,2.76,1.15,0.289,75.80%,40.50%,3.54,3.82,0.3
388,Brendan White,DET,2,3,0,51,0,51,8.31,2.92,0.92,0.304,71.70%,49.40%,3.88,3.9,0.3
389,Hurston Waldrep,ATL,2,2,0,5,5,28,8.22,3.62,1.22,0.305,71.00%,45.40%,4.56,4.53,0.3
390,Blake Treinen,LAD,2,2,0,44,0,44,9.01,3.2,1.15,0.298,72.80%,45.30%,4.02,4.12,0.3
391,Glenn Otto,SDP,4,5,0,46,8,82,8.17,3.8,1.34,0.289,71.30%,41.00%,4.58,4.79,0.3
392,James McArthur,KCR,3,3,24,66,0,66,8.25,3.05,1.04,0.303,71.50%,45.10%,4.09,4.11,0.3
393,Caleb Kilian,CHC,3,3,0,24,6,54,6.94,3.09,1.21,0.3,70.50%,46.90%,4.51,4.63,0.3
394,Victor González,LAD,3,2,0,54,0,54,8.79,3.79,0.98,0.301,74.00%,49.80%,3.84,4.14,0.3
395,Alex Lange,DET,3,3,19,64,0,64,10.16,4.71,0.89,0.302,73.30%,46.50%,3.92,4.01,0.3
396,Keynan Middleton,,3,3,0,58,0,58,9.65,3.78,1.1,0.294,73.40%,41.80%,3.97,4.08,0.3
397,Kai-Wei Teng,SFG,4,4,0,57,3,72,9.34,3.96,1.02,0.3,71.90%,44.90%,4.13,4.21,0.3
398,Nick Robertson,BOS,2,2,0,48,0,48,9.15,3.49,1.09,0.302,72.30%,44.00%,4.1,4.09,0.3
399,Tyler Holton,DET,3,3,1,62,0,62,8.07,2.88,1.08,0.297,72.80%,43.40%,3.94,4.09,0.3
400,Bryan Hudson,LAD,2,2,0,38,0,38,9.38,3.83,1.05,0.297,74.70%,47.00%,3.8,4.1,0.3
401,Huascar Brazoban,MIA,2,2,0,48,0,48,9.64,4.2,0.96,0.299,73.10%,45.50%,3.94,4.04,0.3
402,Cade Horton,CHC,2,2,0,5,5,28,7.99,3.31,1.37,0.295,71.10%,40.90%,4.6,4.68,0.3
403,Ryan Thompson,ARI,3,3,0,58,0,58,7.53,3.17,0.97,0.306,71.30%,49.80%,4.13,4.18,0.3
404,Spencer Howard,SFG,2,2,0,44,0,44,9.46,3.15,1.17,0.295,73.00%,39.20%,3.99,4.02,0.3
405,Luke Jackson,SFG,3,3,1,62,0,62,9.07,3.71,0.94,0.305,72.40%,48.30%,3.97,3.97,0.3
406,Connor Thomas,STL,2,2,0,28,3,43,5.69,2.55,1,0.303,71.50%,52.40%,4.13,4.43,0.3
407,Thyago Vieira,MIL,2,2,0,44,0,44,10.18,3.43,1.19,0.289,74.20%,38.90%,3.86,4,0.3
408,Andrew Kittredge,TBR,3,3,2,62,0,62,7.86,2.59,1.14,0.297,72.30%,46.10%,4,4.14,0.3
409,Jake Eder,CHW,3,4,0,10,10,55,7.49,4.27,1.49,0.289,71.40%,40.80%,4.97,5.33,0.3
410,Joely Rodríguez,,3,3,0,55,0,55,8.46,3.83,0.92,0.303,73.60%,49.90%,3.85,4.08,0.3
411,José Leclerc,TEX,3,3,28,66,0,66,9.99,4.07,1.35,0.282,73.50%,32.80%,4.28,4.48,0.3
412,José Ureña,,3,4,0,11,11,61,6.28,3.46,1.33,0.301,69.80%,46.70%,4.94,5.06,0.3
413,John King,STL,3,3,0,60,0,60,6.31,3.05,0.8,0.308,72.60%,56.60%,3.84,4.15,0.3
414,Kyle Nelson,ARI,2,2,0,48,0,48,8.97,3.67,1.13,0.295,73.10%,40.10%,4.08,4.24,0.3
415,Bryce Jarvis,ARI,3,4,0,29,8,67,7.4,3.85,1.25,0.301,70.10%,42.80%,4.81,4.82,0.3
